,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
68,muhammad fakhry,UgwPGI_3vSplB8ftbit4AaABAg,2,0,True,2018-01-26T23:14:41.000Z,Hi devin! How do you stay focus while glidecaming (especially with the low aperture like f2.8 - f1.2)? Or do you just going with the f4 or higher?  And what your though about gopro hero 6 black? Is the image quality worth it or gopro hero 5 black was better? Thank you devin :),Hi devin! How do you stay focus while glidecaming (especially with the low aperture like f2.8 - f1.2)? Or do you just going with the f4 or higher?  And what your though about gopro hero 6 black? Is the image quality worth it or gopro hero 5 black was better? Thank you devin :),male,positive
69,Rorz Uk,UgzTUrLPj8110UOpV7t4AaABAg,0,0,True,2018-01-26T23:13:14.000Z,Love it. Just bought a Canon M6 with a 15-22 lense and I love it. What was the most expensive bit of kit you bought before you had an income from your videos?,Love it. Just bought a Canon M6 with a 15-22 lense and I love it. What was the most expensive bit of kit you bought before you had an income from your videos?,male,positive
70,Jj Coronet,Ugz7PM_oB3XMxpQy8Bx4AaABAg,0,0,True,2018-01-26T23:13:03.000Z,"I have the nikon 14 /24 which i suppose is your canon equivalent lenses, i remember seeing a video about your lens on line that you can add filters in a slot at the short end of the lens is this the case or not","I have the nikon 14 /24 which i suppose is your canon equivalent lenses, i remember seeing a video about your lens on line that you can add filters in a slot at the short end of the lens is this the case or not",male,neutral
71,jizkmo fiyzk,Ugx74QxEP62AxVVEXut4AaABAg,1,1,True,2018-01-26T23:07:20.000Z,I wan&#39;t to see the cheepest lens you have,I wan't to see the cheepest lens you have,male,neutral
72,Marcel Pavlović,UgzgHaWcYiWf0baBxe14AaABAg,0,0,True,2018-01-26T23:07:16.000Z,Please devin make a video on camera sensors :),Please devin make a video on camera sensors :),male,positive
73,MK2Technics,UgyGrXVMKg1dzjSNMuJ4AaABAg,1,0,True,2018-01-26T23:02:34.000Z,"Hey :) I&#39;d like to know how you pepare your cameras for extreme environments (e.g. extreme cold). I just went for a shoot in the Alps and used all different kinds of GoPros. They worked just fine, but I wondered how you prepare and use a professional camera in such an environment. Many thanks!","Hey :) I'd like to know how you pepare your cameras for extreme environments (e.g. extreme cold). I just went for a shoot in the Alps and used all different kinds of GoPros. They worked just fine, but I wondered how you prepare and use a professional camera in such an environment. Many thanks!",male,positive
74,Robbie Snooks,Ugy9vzgEFsIwSrRCBXZ4AaABAg,0,0,True,2018-01-26T22:56:00.000Z,"I’d love to know how you deal with the business side such as contract negotiations, rates and then eventually the nitty gritty of the contracts, invoicing and so on. Hiring employees (full-time, part-time, contract), administration, marketing, promotion, etc. With that in mind, do you actually look for contracts or do most of it come to you now?","I’d love to know how you deal with the business side such as contract negotiations, rates and then eventually the nitty gritty of the contracts, invoicing and so on. Hiring employees (full-time, part-time, contract), administration, marketing, promotion, etc. With that in mind, do you actually look for contracts or do most of it come to you now?",male,positive
75,Satish More,UgyuGdyMISdLM5zTyhp4AaABAg,2,0,True,2018-01-26T22:52:54.000Z,Also the 10mm T3.1 Rokinon Version II is a spectacular cheap alternative to this lens and much lighter. I was blown away how rectilinear it is.,Also the 10mm T3.1 Rokinon Version II is a spectacular cheap alternative to this lens and much lighter. I was blown away how rectilinear it is.,male,positive
76,Satish More,UgxHEm2WRk1N8O66NxN4AaABAg,1,0,True,2018-01-26T22:50:57.000Z,"I think you mean at <a href=""https://www.youtube.com/watch?v=o5-whO3MBy4&amp;t=1m10s"">1:10</a> that on the RED it should be tighter because the sensor is smaller, not wider than on the 5D Mark IV.","I think you mean at 1:10 that on the RED it should be tighter because the sensor is smaller, not wider than on the 5D Mark IV.",male,negative
77,NazhifUU,UgwG7CCNTu8_RoFr0G94AaABAg,2,0,True,2018-01-26T22:49:54.000Z,Ohhh want the lenses,Ohhh want the lenses,neutral,neutral
